	station_id	stationname	date	daytype	rides	newDates	season
612852	40580	54th/Cermak	01/01/2001	U	0	2001-01-01	Winter
611554	40580	54th/Cermak	01/02/2001	W	1404	2001-01-02	Winter
139141	40580	54th/Cermak	01/03/2001	W	1466	2001-01-03	Winter
311291	40580	54th/Cermak	01/04/2001	W	1530	2001-01-04	Winter
638173	40580	54th/Cermak	01/05/2001	W	1554	2001-01-05	Winter
517916	40580	54th/Cermak	01/06/2001	A	4	2001-01-06	Winter
579186	40580	54th/Cermak	01/07/2001	U	0	2001-01-07	Winter
238546	40580	54th/Cermak	01/08/2001	W	1546	2001-01-08	Winter
242223	40580	54th/Cermak	01/09/2001	W	1495	2001-01-09	Winter
867244	40580	54th/Cermak	01/10/2001	W	1537	2001-01-10	Winter
305171	40580	54th/Cermak	01/11/2001	W	1546	2001-01-11	Winter
985600	40580	54th/Cermak	01/12/2001	W	1648	2001-01-12	Winter
814818	40580	54th/Cermak	01/13/2001	A	6	2001-01-13	Winter
347845	40580	54th/Cermak	01/14/2001	U	0	2001-01-14	Winter
269597	40580	54th/Cermak	01/15/2001	W	1186	2001-01-15	Winter
180853	40580	54th/Cermak	01/16/2001	W	1701	2001-01-16	Winter
415651	40580	54th/Cermak	01/17/2001	W	1632	2001-01-17	Winter
184091	40580	54th/Cermak	01/18/2001	W	1592	2001-01-18	Winter
368467	40580	54th/Cermak	01/19/2001	W	1575	2001-01-19	Winter
853864	40580	54th/Cermak	01/20/2001	A	2	2001-01-20	Winter
394774	40580	54th/Cermak	01/21/2001	U	0	2001-01-21	Winter
991859	40580	54th/Cermak	01/22/2001	W	1590	2001-01-22	Winter
641270	40580	54th/Cermak	01/23/2001	W	1615	2001-01-23	Winter
680193	40580	54th/Cermak	01/24/2001	W	1583	2001-01-24	Winter
236676	40580	54th/Cermak	01/25/2001	W	1615	2001-01-25	Winter
711524	40580	54th/Cermak	01/26/2001	W	1557	2001-01-26	Winter
603670	40580	54th/Cermak	01/27/2001	A	4	2001-01-27	Winter
785452	40580	54th/Cermak	01/28/2001	U	0	2001-01-28	Winter
745460	40580	54th/Cermak	01/29/2001	W	1542	2001-01-29	Winter
846711	40580	54th/Cermak	01/30/2001	W	1535	2001-01-30	Winter
147463	40580	54th/Cermak	01/31/2001	W	1592	2001-01-31	Winter
161750	40580	54th/Cermak	02/01/2001	W	1634	2001-02-01	Winter
988636	40580	54th/Cermak	02/02/2001	W	1575	2001-02-02	Winter
202233	40580	54th/Cermak	02/03/2001	A	5	2001-02-03	Winter
892594	40580	54th/Cermak	02/04/2001	U	0	2001-02-04	Winter
935260	40580	54th/Cermak	02/05/2001	W	1682	2001-02-05	Winter
446547	40580	54th/Cermak	02/06/2001	W	1676	2001-02-06	Winter
291202	40580	54th/Cermak	02/07/2001	W	1630	2001-02-07	Winter
185134	40580	54th/Cermak	02/08/2001	W	1596	2001-02-08	Winter
612447	40580	54th/Cermak	02/09/2001	W	1557	2001-02-09	Winter
488765	40580	54th/Cermak	02/10/2001	A	7	2001-02-10	Winter
258784	40580	54th/Cermak	02/11/2001	U	0	2001-02-11	Winter
634041	40580	54th/Cermak	02/12/2001	W	1528	2001-02-12	Winter
290273	40580	54th/Cermak	02/13/2001	W	1735	2001-02-13	Winter
236597	40580	54th/Cermak	02/14/2001	W	1626	2001-02-14	Winter
855050	40580	54th/Cermak	02/15/2001	W	1637	2001-02-15	Winter
322068	40580	54th/Cermak	02/16/2001	W	1452	2001-02-16	Winter
761773	40580	54th/Cermak	02/17/2001	A	9	2001-02-17	Winter
973434	40580	54th/Cermak	02/18/2001	U	0	2001-02-18	Winter
808054	40580	54th/Cermak	02/19/2001	W	1363	2001-02-19	Winter
277802	40580	54th/Cermak	02/20/2001	W	1604	2001-02-20	Winter
922058	40580	54th/Cermak	02/21/2001	W	1538	2001-02-21	Winter
214022	40580	54th/Cermak	02/22/2001	W	1535	2001-02-22	Winter
617504	40580	54th/Cermak	02/23/2001	W	1541	2001-02-23	Winter
294564	40580	54th/Cermak	02/24/2001	A	7	2001-02-24	Winter
260577	40580	54th/Cermak	02/25/2001	U	0	2001-02-25	Winter
794649	40580	54th/Cermak	02/26/2001	W	1619	2001-02-26	Winter
208180	40580	54th/Cermak	02/27/2001	W	1602	2001-02-27	Winter
558902	40580	54th/Cermak	02/28/2001	W	1618	2001-02-28	Winter
411015	40580	54th/Cermak	03/01/2001	W	1577	2001-03-01	Spring
197971	40580	54th/Cermak	03/02/2001	W	1596	2001-03-02	Spring
862966	40580	54th/Cermak	03/03/2001	A	6	2001-03-03	Spring
437793	40580	54th/Cermak	03/04/2001	U	0	2001-03-04	Spring
287185	40580	54th/Cermak	03/05/2001	W	1609	2001-03-05	Spring
521724	40580	54th/Cermak	03/06/2001	W	1627	2001-03-06	Spring
282166	40580	54th/Cermak	03/07/2001	W	1574	2001-03-07	Spring
712689	40580	54th/Cermak	03/08/2001	W	1542	2001-03-08	Spring
537074	40580	54th/Cermak	03/09/2001	W	1560	2001-03-09	Spring
700696	40580	54th/Cermak	03/10/2001	A	2	2001-03-10	Spring
638699	40580	54th/Cermak	03/11/2001	U	0	2001-03-11	Spring
662320	40580	54th/Cermak	03/12/2001	W	1562	2001-03-12	Spring
595317	40580	54th/Cermak	03/13/2001	W	1603	2001-03-13	Spring
494094	40580	54th/Cermak	03/14/2001	W	1550	2001-03-14	Spring
519526	40580	54th/Cermak	03/15/2001	W	1551	2001-03-15	Spring
344849	40580	54th/Cermak	03/16/2001	W	1514	2001-03-16	Spring
717062	40580	54th/Cermak	03/17/2001	A	2	2001-03-17	Spring
385084	40580	54th/Cermak	03/18/2001	U	0	2001-03-18	Spring
605830	40580	54th/Cermak	03/19/2001	W	1721	2001-03-19	Spring
192717	40580	54th/Cermak	03/20/2001	W	1636	2001-03-20	Spring
172625	40580	54th/Cermak	03/21/2001	W	1683	2001-03-21	Spring
943794	40580	54th/Cermak	03/22/2001	W	1661	2001-03-22	Spring
177395	40580	54th/Cermak	03/23/2001	W	1707	2001-03-23	Spring
694306	40580	54th/Cermak	03/24/2001	A	0	2001-03-24	Spring
925301	40580	54th/Cermak	03/25/2001	U	0	2001-03-25	Spring
684263	40580	54th/Cermak	03/26/2001	W	1623	2001-03-26	Spring
615412	40580	54th/Cermak	03/27/2001	W	1602	2001-03-27	Spring
497815	40580	54th/Cermak	03/28/2001	W	1618	2001-03-28	Spring
577541	40580	54th/Cermak	03/29/2001	W	1605	2001-03-29	Spring
232974	40580	54th/Cermak	03/30/2001	W	1701	2001-03-30	Spring
739366	40580	54th/Cermak	03/31/2001	A	1	2001-03-31	Spring
525719	40580	54th/Cermak	04/01/2001	U	0	2001-04-01	Spring
356417	40580	54th/Cermak	04/02/2001	W	1638	2001-04-02	Spring
349130	40580	54th/Cermak	04/03/2001	W	1678	2001-04-03	Spring
526026	40580	54th/Cermak	04/04/2001	W	1614	2001-04-04	Spring
639456	40580	54th/Cermak	04/05/2001	W	1644	2001-04-05	Spring
408336	40580	54th/Cermak	04/06/2001	W	1528	2001-04-06	Spring
344898	40580	54th/Cermak	04/07/2001	A	7	2001-04-07	Spring
810321	40580	54th/Cermak	04/08/2001	U	0	2001-04-08	Spring
366265	40580	54th/Cermak	04/09/2001	W	1667	2001-04-09	Spring
247972	40580	54th/Cermak	04/10/2001	W	1623	2001-04-10	Spring
244706	40580	54th/Cermak	04/11/2001	W	1554	2001-04-11	Spring
741060	40580	54th/Cermak	04/12/2001	W	1540	2001-04-12	Spring
285955	40580	54th/Cermak	04/13/2001	W	1433	2001-04-13	Spring
246296	40580	54th/Cermak	04/14/2001	A	2	2001-04-14	Spring
902821	40580	54th/Cermak	04/15/2001	U	0	2001-04-15	Spring
338659	40580	54th/Cermak	04/16/2001	W	1549	2001-04-16	Spring
859920	40580	54th/Cermak	04/17/2001	W	1583	2001-04-17	Spring
743990	40580	54th/Cermak	04/18/2001	W	1601	2001-04-18	Spring
416190	40580	54th/Cermak	04/19/2001	W	1746	2001-04-19	Spring
808984	40580	54th/Cermak	04/20/2001	W	1585	2001-04-20	Spring
372011	40580	54th/Cermak	04/21/2001	A	2	2001-04-21	Spring
424283	40580	54th/Cermak	04/22/2001	U	0	2001-04-22	Spring
522856	40580	54th/Cermak	04/23/2001	W	1641	2001-04-23	Spring
686041	40580	54th/Cermak	04/24/2001	W	1646	2001-04-24	Spring
582870	40580	54th/Cermak	04/25/2001	W	1616	2001-04-25	Spring
587231	40580	54th/Cermak	04/26/2001	W	1667	2001-04-26	Spring
575150	40580	54th/Cermak	04/27/2001	W	1720	2001-04-27	Spring
887442	40580	54th/Cermak	04/28/2001	A	1	2001-04-28	Spring
996812	40580	54th/Cermak	04/29/2001	U	0	2001-04-29	Spring
755294	40580	54th/Cermak	04/30/2001	W	1596	2001-04-30	Spring
608664	40580	54th/Cermak	05/01/2001	W	1628	2001-05-01	Spring
206993	40580	54th/Cermak	05/02/2001	W	1619	2001-05-02	Spring
962719	40580	54th/Cermak	05/03/2001	W	1648	2001-05-03	Spring
644982	40580	54th/Cermak	05/04/2001	W	1635	2001-05-04	Spring
672978	40580	54th/Cermak	05/05/2001	A	6	2001-05-05	Spring
659629	40580	54th/Cermak	05/06/2001	U	0	2001-05-06	Spring
961996	40580	54th/Cermak	05/07/2001	W	1599	2001-05-07	Spring
685284	40580	54th/Cermak	05/08/2001	W	1653	2001-05-08	Spring
816346	40580	54th/Cermak	05/09/2001	W	1662	2001-05-09	Spring
656023	40580	54th/Cermak	05/10/2001	W	1635	2001-05-10	Spring
150949	40580	54th/Cermak	05/11/2001	W	1600	2001-05-11	Spring
739278	40580	54th/Cermak	05/12/2001	A	7	2001-05-12	Spring
270068	40580	54th/Cermak	05/13/2001	U	0	2001-05-13	Spring
741244	40580	54th/Cermak	05/14/2001	W	1621	2001-05-14	Spring
297489	40580	54th/Cermak	05/15/2001	W	1625	2001-05-15	Spring
871555	40580	54th/Cermak	05/16/2001	W	1600	2001-05-16	Spring
612992	40580	54th/Cermak	05/17/2001	W	1669	2001-05-17	Spring
209423	40580	54th/Cermak	05/18/2001	W	1663	2001-05-18	Spring
904303	40580	54th/Cermak	05/19/2001	A	0	2001-05-19	Spring
572983	40580	54th/Cermak	05/20/2001	U	0	2001-05-20	Spring
552482	40580	54th/Cermak	05/21/2001	W	1608	2001-05-21	Spring
241430	40580	54th/Cermak	05/22/2001	W	1700	2001-05-22	Spring
139449	40580	54th/Cermak	05/23/2001	W	1649	2001-05-23	Spring
452809	40580	54th/Cermak	05/24/2001	W	1631	2001-05-24	Spring
879703	40580	54th/Cermak	05/25/2001	W	1633	2001-05-25	Spring
481667	40580	54th/Cermak	05/26/2001	A	2	2001-05-26	Spring
986512	40580	54th/Cermak	05/27/2001	U	0	2001-05-27	Spring
497266	40580	54th/Cermak	05/28/2001	U	1	2001-05-28	Spring
619049	40580	54th/Cermak	05/29/2001	W	1627	2001-05-29	Spring
705292	40580	54th/Cermak	05/30/2001	W	1666	2001-05-30	Spring
290934	40580	54th/Cermak	05/31/2001	W	1566	2001-05-31	Spring
496286	40580	54th/Cermak	06/01/2001	W	1604	2001-06-01	Summer
513293	40580	54th/Cermak	06/02/2001	A	3	2001-06-02	Summer
606909	40580	54th/Cermak	06/03/2001	U	0	2001-06-03	Summer
