	station_id	stationname	date	daytype	rides	newDates
579591	40890	O'Hare Airport	01/01/2001	U	6383	2001-01-01
935447	40890	O'Hare Airport	01/02/2001	W	9301	2001-01-02
142960	40890	O'Hare Airport	01/03/2001	W	8584	2001-01-03
385844	40890	O'Hare Airport	01/04/2001	W	8280	2001-01-04
844502	40890	O'Hare Airport	01/05/2001	W	8109	2001-01-05
770599	40890	O'Hare Airport	01/06/2001	A	6109	2001-01-06
968597	40890	O'Hare Airport	01/07/2001	U	6438	2001-01-07
932672	40890	O'Hare Airport	01/08/2001	W	7854	2001-01-08
831196	40890	O'Hare Airport	01/09/2001	W	7518	2001-01-09
1012801	40890	O'Hare Airport	01/10/2001	W	7614	2001-01-10
460173	40890	O'Hare Airport	01/11/2001	W	7929	2001-01-11
307130	40890	O'Hare Airport	01/12/2001	W	8674	2001-01-12
277864	40890	O'Hare Airport	01/13/2001	A	6127	2001-01-13
253671	40890	O'Hare Airport	01/14/2001	U	5861	2001-01-14
957374	40890	O'Hare Airport	01/15/2001	W	8146	2001-01-15
763724	40890	O'Hare Airport	01/16/2001	W	7838	2001-01-16
478573	40890	O'Hare Airport	01/17/2001	W	7463	2001-01-17
161176	40890	O'Hare Airport	01/18/2001	W	7625	2001-01-18
588245	40890	O'Hare Airport	01/19/2001	W	8130	2001-01-19
475987	40890	O'Hare Airport	01/20/2001	A	5722	2001-01-20
806877	40890	O'Hare Airport	01/21/2001	U	6041	2001-01-21
789078	40890	O'Hare Airport	01/22/2001	W	7884	2001-01-22
448323	40890	O'Hare Airport	01/23/2001	W	7335	2001-01-23
660656	40890	O'Hare Airport	01/24/2001	W	7321	2001-01-24
755002	40890	O'Hare Airport	01/25/2001	W	7703	2001-01-25
251990	40890	O'Hare Airport	01/26/2001	W	8057	2001-01-26
750737	40890	O'Hare Airport	01/27/2001	A	5695	2001-01-27
709864	40890	O'Hare Airport	01/28/2001	U	5766	2001-01-28
359481	40890	O'Hare Airport	01/29/2001	W	8036	2001-01-29
963605	40890	O'Hare Airport	01/30/2001	W	7391	2001-01-30
631802	40890	O'Hare Airport	01/31/2001	W	7178	2001-01-31
818548	40890	O'Hare Airport	02/01/2001	W	7411	2001-02-01
167754	40890	O'Hare Airport	02/02/2001	W	7740	2001-02-02
424567	40890	O'Hare Airport	02/03/2001	A	5469	2001-02-03
596154	40890	O'Hare Airport	02/04/2001	U	5950	2001-02-04
395400	40890	O'Hare Airport	02/05/2001	W	8033	2001-02-05
794069	40890	O'Hare Airport	02/06/2001	W	7361	2001-02-06
389722	40890	O'Hare Airport	02/07/2001	W	7052	2001-02-07
988700	40890	O'Hare Airport	02/08/2001	W	7497	2001-02-08
630524	40890	O'Hare Airport	02/09/2001	W	8640	2001-02-09
456438	40890	O'Hare Airport	02/10/2001	A	5808	2001-02-10
