	station_id	stationname	date	daytype	rides	newDates	season	school
137943	40350	UIC-Halsted	01/01/2001	U	273	2001-01-01	Winter	In School
1014137	40350	UIC-Halsted	01/02/2001	W	1775	2001-01-02	Winter	In School
748006	40350	UIC-Halsted	01/03/2001	W	1945	2001-01-03	Winter	In School
758418	40350	UIC-Halsted	01/04/2001	W	2049	2001-01-04	Winter	In School
220470	40350	UIC-Halsted	01/05/2001	W	2145	2001-01-05	Winter	In School
969984	40350	UIC-Halsted	01/06/2001	A	729	2001-01-06	Winter	In School
638352	40350	UIC-Halsted	01/07/2001	U	485	2001-01-07	Winter	In School
708122	40350	UIC-Halsted	01/08/2001	W	4663	2001-01-08	Winter	In School
327785	40350	UIC-Halsted	01/09/2001	W	4676	2001-01-09	Winter	In School
595400	40350	UIC-Halsted	01/10/2001	W	4764	2001-01-10	Winter	In School
207018	40350	UIC-Halsted	01/11/2001	W	4731	2001-01-11	Winter	In School
928829	40350	UIC-Halsted	01/12/2001	W	4358	2001-01-12	Winter	In School
486435	40350	UIC-Halsted	01/13/2001	A	920	2001-01-13	Winter	In School
814265	40350	UIC-Halsted	01/14/2001	U	578	2001-01-14	Winter	In School
880134	40350	UIC-Halsted	01/15/2001	W	1305	2001-01-15	Winter	In School
562951	40350	UIC-Halsted	01/16/2001	W	4774	2001-01-16	Winter	In School
492132	40350	UIC-Halsted	01/17/2001	W	4976	2001-01-17	Winter	In School
860881	40350	UIC-Halsted	01/18/2001	W	4803	2001-01-18	Winter	In School
832778	40350	UIC-Halsted	01/19/2001	W	4447	2001-01-19	Winter	In School
951129	40350	UIC-Halsted	01/20/2001	A	943	2001-01-20	Winter	In School
502265	40350	UIC-Halsted	01/21/2001	U	534	2001-01-21	Winter	In School
443036	40350	UIC-Halsted	01/22/2001	W	4519	2001-01-22	Winter	In School
437648	40350	UIC-Halsted	01/23/2001	W	4625	2001-01-23	Winter	In School
329868	40350	UIC-Halsted	01/24/2001	W	4785	2001-01-24	Winter	In School
350489	40350	UIC-Halsted	01/25/2001	W	4717	2001-01-25	Winter	In School
649935	40350	UIC-Halsted	01/26/2001	W	4304	2001-01-26	Winter	In School
680968	40350	UIC-Halsted	01/27/2001	A	954	2001-01-27	Winter	In School
293220	40350	UIC-Halsted	01/28/2001	U	539	2001-01-28	Winter	In School
467584	40350	UIC-Halsted	01/29/2001	W	4602	2001-01-29	Winter	In School
694237	40350	UIC-Halsted	01/30/2001	W	4641	2001-01-30	Winter	In School
1008046	40350	UIC-Halsted	01/31/2001	W	4799	2001-01-31	Winter	In School
949947	40350	UIC-Halsted	02/01/2001	W	4596	2001-02-01	Winter	In School
770370	40350	UIC-Halsted	02/02/2001	W	4071	2001-02-02	Winter	In School
526238	40350	UIC-Halsted	02/03/2001	A	968	2001-02-03	Winter	In School
509587	40350	UIC-Halsted	02/04/2001	U	578	2001-02-04	Winter	In School
1001905	40350	UIC-Halsted	02/05/2001	W	4511	2001-02-05	Winter	In School
179492	40350	UIC-Halsted	02/06/2001	W	4615	2001-02-06	Winter	In School
851651	40350	UIC-Halsted	02/07/2001	W	4729	2001-02-07	Winter	In School
424237	40350	UIC-Halsted	02/08/2001	W	4496	2001-02-08	Winter	In School
644060	40350	UIC-Halsted	02/09/2001	W	4192	2001-02-09	Winter	In School
718358	40350	UIC-Halsted	02/10/2001	A	1026	2001-02-10	Winter	In School
567227	40350	UIC-Halsted	02/11/2001	U	612	2001-02-11	Winter	In School
258309	40350	UIC-Halsted	02/12/2001	W	4453	2001-02-12	Winter	In School
142687	40350	UIC-Halsted	02/13/2001	W	4558	2001-02-13	Winter	In School
824721	40350	UIC-Halsted	02/14/2001	W	4572	2001-02-14	Winter	In School
965388	40350	UIC-Halsted	02/15/2001	W	4597	2001-02-15	Winter	In School
303611	40350	UIC-Halsted	02/16/2001	W	4139	2001-02-16	Winter	In School
350401	40350	UIC-Halsted	02/17/2001	A	972	2001-02-17	Winter	In School
868259	40350	UIC-Halsted	02/18/2001	U	596	2001-02-18	Winter	In School
878278	40350	UIC-Halsted	02/19/2001	W	3916	2001-02-19	Winter	In School
240004	40350	UIC-Halsted	02/20/2001	W	4447	2001-02-20	Winter	In School
969759	40350	UIC-Halsted	02/21/2001	W	4467	2001-02-21	Winter	In School
193799	40350	UIC-Halsted	02/22/2001	W	4467	2001-02-22	Winter	In School
291776	40350	UIC-Halsted	02/23/2001	W	3996	2001-02-23	Winter	In School
524067	40350	UIC-Halsted	02/24/2001	A	886	2001-02-24	Winter	In School
725561	40350	UIC-Halsted	02/25/2001	U	609	2001-02-25	Winter	In School
654550	40350	UIC-Halsted	02/26/2001	W	4344	2001-02-26	Winter	In School
176317	40350	UIC-Halsted	02/27/2001	W	4404	2001-02-27	Winter	In School
340234	40350	UIC-Halsted	02/28/2001	W	4535	2001-02-28	Winter	In School
750923	40350	UIC-Halsted	03/01/2001	W	4467	2001-03-01	Spring	In School
822960	40350	UIC-Halsted	03/02/2001	W	4123	2001-03-02	Spring	In School
478358	40350	UIC-Halsted	03/03/2001	A	1250	2001-03-03	Spring	In School
168086	40350	UIC-Halsted	03/04/2001	U	591	2001-03-04	Spring	In School
688273	40350	UIC-Halsted	03/05/2001	W	4263	2001-03-05	Spring	In School
733524	40350	UIC-Halsted	03/06/2001	W	4264	2001-03-06	Spring	In School
637924	40350	UIC-Halsted	03/07/2001	W	4563	2001-03-07	Spring	In School
730853	40350	UIC-Halsted	03/08/2001	W	4394	2001-03-08	Spring	In School
883506	40350	UIC-Halsted	03/09/2001	W	3920	2001-03-09	Spring	In School
262911	40350	UIC-Halsted	03/10/2001	A	838	2001-03-10	Spring	In School
906164	40350	UIC-Halsted	03/11/2001	U	565	2001-03-11	Spring	In School
859840	40350	UIC-Halsted	03/12/2001	W	2047	2001-03-12	Spring	In School
612986	40350	UIC-Halsted	03/13/2001	W	2164	2001-03-13	Spring	In School
780499	40350	UIC-Halsted	03/14/2001	W	2186	2001-03-14	Spring	In School
382590	40350	UIC-Halsted	03/15/2001	W	2193	2001-03-15	Spring	In School
139426	40350	UIC-Halsted	03/16/2001	W	2070	2001-03-16	Spring	In School
540331	40350	UIC-Halsted	03/17/2001	A	941	2001-03-17	Spring	In School
975640	40350	UIC-Halsted	03/18/2001	U	541	2001-03-18	Spring	In School
875601	40350	UIC-Halsted	03/19/2001	W	4352	2001-03-19	Spring	In School
517748	40350	UIC-Halsted	03/20/2001	W	4424	2001-03-20	Spring	In School
480535	40350	UIC-Halsted	03/21/2001	W	4524	2001-03-21	Spring	In School
503488	40350	UIC-Halsted	03/22/2001	W	4392	2001-03-22	Spring	In School
865700	40350	UIC-Halsted	03/23/2001	W	4030	2001-03-23	Spring	In School
613563	40350	UIC-Halsted	03/24/2001	A	1132	2001-03-24	Spring	In School
862895	40350	UIC-Halsted	03/25/2001	U	729	2001-03-25	Spring	In School
392862	40350	UIC-Halsted	03/26/2001	W	4168	2001-03-26	Spring	In School
625816	40350	UIC-Halsted	03/27/2001	W	4364	2001-03-27	Spring	In School
475845	40350	UIC-Halsted	03/28/2001	W	4551	2001-03-28	Spring	In School
689875	40350	UIC-Halsted	03/29/2001	W	4462	2001-03-29	Spring	In School
699856	40350	UIC-Halsted	03/30/2001	W	4249	2001-03-30	Spring	In School
157601	40350	UIC-Halsted	03/31/2001	A	1585	2001-03-31	Spring	In School
870660	40350	UIC-Halsted	04/01/2001	U	659	2001-04-01	Spring	In School
904742	40350	UIC-Halsted	04/02/2001	W	4297	2001-04-02	Spring	In School
610934	40350	UIC-Halsted	04/03/2001	W	4223	2001-04-03	Spring	In School
407884	40350	UIC-Halsted	04/04/2001	W	4585	2001-04-04	Spring	In School
481771	40350	UIC-Halsted	04/05/2001	W	4310	2001-04-05	Spring	In School
839806	40350	UIC-Halsted	04/06/2001	W	3964	2001-04-06	Spring	In School
940939	40350	UIC-Halsted	04/07/2001	A	1226	2001-04-07	Spring	In School
265984	40350	UIC-Halsted	04/08/2001	U	680	2001-04-08	Spring	In School
147613	40350	UIC-Halsted	04/09/2001	W	4322	2001-04-09	Spring	In School
546128	40350	UIC-Halsted	04/10/2001	W	4296	2001-04-10	Spring	In School
428844	40350	UIC-Halsted	04/11/2001	W	4463	2001-04-11	Spring	In School
763438	40350	UIC-Halsted	04/12/2001	W	4343	2001-04-12	Spring	In School
814643	40350	UIC-Halsted	04/13/2001	W	3655	2001-04-13	Spring	In School
597581	40350	UIC-Halsted	04/14/2001	A	936	2001-04-14	Spring	In School
615910	40350	UIC-Halsted	04/15/2001	U	526	2001-04-15	Spring	In School
715715	40350	UIC-Halsted	04/16/2001	W	3976	2001-04-16	Spring	In School
416239	40350	UIC-Halsted	04/17/2001	W	4121	2001-04-17	Spring	In School
957883	40350	UIC-Halsted	04/18/2001	W	4267	2001-04-18	Spring	In School
158524	40350	UIC-Halsted	04/19/2001	W	4199	2001-04-19	Spring	In School
179371	40350	UIC-Halsted	04/20/2001	W	3896	2001-04-20	Spring	In School
825814	40350	UIC-Halsted	04/21/2001	A	1109	2001-04-21	Spring	In School
357676	40350	UIC-Halsted	04/22/2001	U	711	2001-04-22	Spring	In School
745364	40350	UIC-Halsted	04/23/2001	W	4155	2001-04-23	Spring	In School
329621	40350	UIC-Halsted	04/24/2001	W	4171	2001-04-24	Spring	In School
354540	40350	UIC-Halsted	04/25/2001	W	4333	2001-04-25	Spring	In School
944766	40350	UIC-Halsted	04/26/2001	W	4250	2001-04-26	Spring	In School
503528	40350	UIC-Halsted	04/27/2001	W	4092	2001-04-27	Spring	In School
349785	40350	UIC-Halsted	04/28/2001	A	993	2001-04-28	Spring	In School
424018	40350	UIC-Halsted	04/29/2001	U	718	2001-04-29	Spring	In School
410691	40350	UIC-Halsted	04/30/2001	W	3335	2001-04-30	Spring	In School
755599	40350	UIC-Halsted	05/01/2001	W	3534	2001-05-01	Spring	On Break
553634	40350	UIC-Halsted	05/02/2001	W	3518	2001-05-02	Spring	On Break
798867	40350	UIC-Halsted	05/03/2001	W	3780	2001-05-03	Spring	On Break
371414	40350	UIC-Halsted	05/04/2001	W	3307	2001-05-04	Spring	On Break
1004192	40350	UIC-Halsted	05/05/2001	A	1202	2001-05-05	Spring	On Break
486835	40350	UIC-Halsted	05/06/2001	U	678	2001-05-06	Spring	On Break
902795	40350	UIC-Halsted	05/07/2001	W	2388	2001-05-07	Spring	On Break
780680	40350	UIC-Halsted	05/08/2001	W	2311	2001-05-08	Spring	On Break
330946	40350	UIC-Halsted	05/09/2001	W	2324	2001-05-09	Spring	On Break
682350	40350	UIC-Halsted	05/10/2001	W	2217	2001-05-10	Spring	On Break
789275	40350	UIC-Halsted	05/11/2001	W	2144	2001-05-11	Spring	On Break
181610	40350	UIC-Halsted	05/12/2001	A	830	2001-05-12	Spring	On Break
510567	40350	UIC-Halsted	05/13/2001	U	487	2001-05-13	Spring	On Break
225047	40350	UIC-Halsted	05/14/2001	W	2157	2001-05-14	Spring	On Break
331866	40350	UIC-Halsted	05/15/2001	W	2238	2001-05-15	Spring	On Break
409772	40350	UIC-Halsted	05/16/2001	W	2190	2001-05-16	Spring	On Break
966841	40350	UIC-Halsted	05/17/2001	W	2445	2001-05-17	Spring	On Break
730221	40350	UIC-Halsted	05/18/2001	W	2113	2001-05-18	Spring	On Break
335370	40350	UIC-Halsted	05/19/2001	A	999	2001-05-19	Spring	On Break
298703	40350	UIC-Halsted	05/20/2001	U	544	2001-05-20	Spring	On Break
514950	40350	UIC-Halsted	05/21/2001	W	2110	2001-05-21	Spring	On Break
497728	40350	UIC-Halsted	05/22/2001	W	2267	2001-05-22	Spring	On Break
806451	40350	UIC-Halsted	05/23/2001	W	2191	2001-05-23	Spring	On Break
879441	40350	UIC-Halsted	05/24/2001	W	2270	2001-05-24	Spring	On Break
144120	40350	UIC-Halsted	05/25/2001	W	1979	2001-05-25	Spring	On Break
419104	40350	UIC-Halsted	05/26/2001	A	641	2001-05-26	Spring	On Break
566956	40350	UIC-Halsted	05/27/2001	U	451	2001-05-27	Spring	On Break
311364	40350	UIC-Halsted	05/28/2001	U	464	2001-05-28	Spring	On Break
